company,address,city,state,zip,phone,email,trades,source_file,segment
"Lexa Concrete, Llc",11 Commerce Way Drive,Hammonton,NJ,08037,,lexaconcrete@aol.com,"11,8D,8C",njdot_prequalified,paving_asphalt
"Liberty Maintenance, Inc.",777 North Meridian Road,Youngstown,OH,44509,,ckalikatzaros@aol.com,14,njdot_prequalified,gc_excavation
Linde-Griffith Construction Co.,152 Passaic Street,Newark,NJ,07104,,ray@linde-griffith.com,4,njdot_prequalified,gc_excavation
"Loftus Construction, Inc.",1903 Taylors Lane,Cinnaminson,NJ,08077,,kdivece@loftusconstruction.com,"24,8,5",njdot_prequalified,gc_excavation
"M.L. Ruberton Construction Co., Inc.",P.O. Box 564,Hammonton,NJ,08037,,liz@ruberton.com,"11,24,14,4,22,7,8",njdot_prequalified,gc_excavation
"Marbro, Inc.",127 Pine Street,Montclair,NJ,07042,,mar9400@comcast.net,"1,4,22",njdot_prequalified,gc_excavation
"Masonry Preservation Group, Inc.",1650 Hylton Road,Pennsauken,NJ,08110,,rmccaw@mpgnj.com,8B,njdot_prequalified,gc_excavation
Mass Electric Construction Comapny,"400 Totten Pond Road, Suite 400",Waltham,MA,02451,,shannon.pechar@kiewit.com,"41,7,22",njdot_prequalified,gc_excavation
"Mathis Construction Co., Inc.",6F,Little Egg Harbor,NJ,08087,,christophermathis@mathisconst.com,"9B,3A,1,11,10,24,25,22,8,9V",njdot_prequalified,utility
"Meco Constructors, Inc.",684 Dunksferry Road,Bensalem,PA,19020,,fgallo@mecoconstructors.com,"3A,8C,11,10,22,4T",njdot_prequalified,paving_asphalt
"Medio Construction Co., Inc.",214 South Laurel Street,Landisville,NJ,08326,,fmedio@comcast.net,8C,njdot_prequalified,paving_asphalt
"Merco, Inc. D/B/A Merco Of New Jersey, Inc.",1117 State Route,Lebanon,NJ,08833,,merco@mercoinc.com,5,njdot_prequalified,gc_excavation
Michels Corporation Brownsville WI 53006,817 West Main Street,,,,,qualifications@michels.us,"8,5",njdot_prequalified,gc_excavation
"Midlantic Construction, Llc",371 North Main Street,Barnegat,NJ,08005,,swood@midlanticconstllc.com,5,njdot_prequalified,gc_excavation
"Mike Fitzpatrick Contractors, Inc.",18 Cozy Lake Road,Oak Ridge,NJ,07438,,shannon@mikefitzpatrick.com,"3A,8C",njdot_prequalified,paving_asphalt
"Mobile Dredging & Video Pipe, Inc.",3100 Bethel Road,Chester,PA,19013,,fpurcell@mobiledredging.com,9V,njdot_prequalified,utility
"Montana Construction Corp., Inc.",80 Contant Avenue,Lodi,NJ,07644,,lsantaite@montanaconstructioninc.com,5,njdot_prequalified,gc_excavation
Moretrench American Corp.,100 Stickle Avenue,Rockaway,NJ,07866,,hskirptunas@moretrench.com,"11,4T,9A",njdot_prequalified,utility
"Mount Construction Co., Inc.",427 South White Horse Pike,Berlin,NJ,08009,,jfinnigan@mountconstruction.com,"9V,41,5",njdot_prequalified,utility
"Mv Contracting, Inc.",91 Harrow Drive,Colonia,NJ,07067,,maria@mvcontract.com,"8C,8B",njdot_prequalified,paving_asphalt
"N.C. & Sons, Inc. Dba The Nicholson Corporation",201 Chambersbrook Road,Branchburg,NJ,08876,,accounting@nicholsoncorp.com,"3A,8C",njdot_prequalified,paving_asphalt
Nagi Construction Company,P.O. Box 701,Millburn,NJ,07041,,nagicorp@aol.com,5,njdot_prequalified,gc_excavation
National Water Main Cleaning Company,1806 Newark Turnpike,Kearny,NJ,07032,,bidreg@nwmcc.com,9V,njdot_prequalified,utility
"Neshaminy Constructors, Inc.",1839 Bustleton Pike,Feasterville,PA,19053,,mike.paulosky@nci3.com,5,njdot_prequalified,gc_excavation
"New Prince Concrete Construction Co., Inc.",215 Ellen Terrace,Hackensack,NJ,07601,,maisano@newprinceconcrete.com,5,njdot_prequalified,gc_excavation
"Northeast Remsco Construction, Inc.",1433 Highway 34 South,Farmingdale,NJ,07727,,engineering@northeastremsco.com,5,njdot_prequalified,gc_excavation
Nyleve Bridge Corp.,1540 Chestnut Street,Emmaus,PA,18049,,sguignet@schultzorg.com,5,njdot_prequalified,gc_excavation
"Orchard Holdings, Llc","1913 Atlantic Avenue, Suite 193",Manasquan,NJ,08736,,accounting@ohelectricllc.com,"8C,9D,25,2B,7",njdot_prequalified,utility
"Palmer West Associates, Inc. T/A A&J Construction Co.",5026 Industrial Road,Farmingdale,NJ,07727,,allenm@ajconstruct.com,22,njdot_prequalified,gc_excavation
"Persistent Construction, Inc.",58 Industrial Avenue,Fairview,NJ,07022,,agrano@persistentconstruction.com,5,njdot_prequalified,gc_excavation
"Petillo, Inc.",167 Flanders Netcong Road,Flanders,NJ,07836,,mpetillo@petillo.com,"3A,8C,10,24,8B,22,4T",njdot_prequalified,paving_asphalt
"Petrongolo Contractors, Inc.",712 Creek Road,Bellmawr,NJ,08031,,rpp129@comcast.net,"24,3,25,22,4T,8,9V",njdot_prequalified,utility
"Phoenix Marine Co. De, Llc",449 Washington Road,Sayreville,NJ,08872,,hcharles@phoenixmarine.com,8B,njdot_prequalified,gc_excavation
Pillari Brothers Construction Corp.,65 Squankum Yellowbrook Road,Farmingdale,NJ,07727,,lpillari@pillaribros.com,"5,22",njdot_prequalified,gc_excavation
"Pkf Mark Iii, Inc.","17 Blacksmith Road, Suite 101",Newtown,PA,18940,,eak@pkfm.com,"7,5",njdot_prequalified,gc_excavation
"Power Concrete Co., Inc.",497 Raymond Boulevard,Newark,NJ,07105,,nsingh@powerconcretecoinc.com,"8,5",njdot_prequalified,gc_excavation
"Proshot Concrete, Inc.",4158 Musgrove Drive,Florence,AL,35630,,tony@proshotconcrete.com,8B,njdot_prequalified,gc_excavation
"R & R Construction Co., Inc.",105-B Parker Road,Chester,NJ,07930,,mduryea@rrconstructionnj.com,"1,2A,22",njdot_prequalified,paving_asphalt
"R.W.V. Land-Livestock South, Inc.",P.O. Box 1323,Jackson,NJ,08527,,rwvogel@optonline.net,1,njdot_prequalified,gc_excavation
"Railroad Construction Company, Inc.",75-77 Grove Street,Paterson,NJ,07503,,prequals@rccmail.net,"1,24,4,22,5",njdot_prequalified,gc_excavation
"Ram Construction Services Of Michigan, Inc. Livonia MI 48150",13800 Eckles Road,,,,,cgallina@ramservices.com,"8D,8C,8B",njdot_prequalified,paving_asphalt
"Reilly Sweeping, Inc.",10 Kresge Road,Fairless Hills,PA,19030,,preilly@reillysweeping.com,10,njdot_prequalified,gc_excavation
Reivax Contracting Corp.,68 Finderne Avenue,Bridgewater,NJ,08807,,xpimenta@reivaxcontracting.com,"3A,10,4,25,22,8",njdot_prequalified,paving_asphalt
"Rencor, Inc.",24 Tannery Road,Somerville,NJ,08876,,rencor@rencorinc.net,"24,5",njdot_prequalified,gc_excavation
"Richard E. Pierson Construction Co., Inc.",P.O. Box 430,Woodstown,NJ,08098,,ccoles@repierson.com,5,njdot_prequalified,gc_excavation
"Ricky Slade Construction, Inc.",54 Slade Lane,Bridgeton,NJ,08302,,rickyjsladeinc@aol.com,"2B,8C,22",njdot_prequalified,paving_asphalt
"Ritacco Construction, Inc.",10 Lawrence Street,Belleville,NJ,07109,,rritacco@ritacco.com,"8,5,10",njdot_prequalified,gc_excavation
"Road Safety Systems, Llc",12 Park Drive,Shamong,NJ,08088,,john@roadsafetysystem.com,24,njdot_prequalified,gc_excavation
"Roadsafe Traffic Systems, Inc. Chicago IL 60631","8750 West Bryn Mawr Avenue, Suite",,,,,tminori@roadsafetraffic.com,"4,24",njdot_prequalified,gc_excavation
Roman Asphalt Corp.,14 Ogden Street,Newark,NJ,07104,,romanasphaltcorp@aol.com,"4R,8C,8D,24,3,14,25,22,9V",njdot_prequalified,utility
"S. Batata Construction, Inc.",238 Ernston Road,Parlin,NJ,08859,,info@sbatataconstruction.com,"8,3",njdot_prequalified,paving_asphalt
"Scalfo Electric, Inc.",3539 North Mill Road,Vineland,NJ,08360,,rgrouser@scalfoelectric.com,7,njdot_prequalified,gc_excavation
"Schiavone Construction Co., Llc",150 Meadowlands Parkway,Secaucus,NJ,07094,,delk@schiavone.net,"28,24,41,22,5",njdot_prequalified,gc_excavation
"Sevenson Environmental Services, Inc.",2749 Lockport Road,Niagara Falls,NY,14305,,jmhouse@sevenson.com,11,njdot_prequalified,gc_excavation
"Signs & Safety Devices, Llc",201 Wilton Avenue,Middlesex,NJ,08846,,heather@signsandsafetydevices.com,24,njdot_prequalified,gc_excavation
"Sja Construction, Inc.",925 Route 73 North,Marlton,NJ,08053,,suea@sjaconstruction.com,"25,3A",njdot_prequalified,paving_asphalt
"Skanska Koch, Inc.",400 Roosevelt Avenue,Carteret,NJ,07008,,paul.koch@skanska.com,"41,42,5,10",njdot_prequalified,gc_excavation
"Skanska Usa Civil Northeast, Inc.","7520 Astoria Boulevard, Suite 200",East Elmhurst,NY,11370,,stephen.hughes@skanska.com,"5,10",njdot_prequalified,gc_excavation
"Smith-Sondy Asphalt Construction Co., Inc.",150 Anderson Avenue,Wallington,NJ,07057,,ruschke@smith-sondy.com,5,njdot_prequalified,gc_excavation
"Sodon'S Electric, Inc.",25 West Highland Avenue,Atlantic Highlands,NJ,07716,,dottie@sodonselectric.com,"25,7",njdot_prequalified,paving_asphalt
"South State, Inc.",202 Reeves Road,Bridgeton,NJ,08302,,asuppa@eosfs.com,"41,5",njdot_prequalified,gc_excavation
Southwind Construction Corp. Evansville IN 47725,"14649 Highway 41 North, Suite 100",,,,,tbarnes@southwindco.com,41,njdot_prequalified,gc_excavation
Spiniello Companies,354 Eisenhower Parkway,Livingston,NJ,07039,,dmarinelli@spinielloco.com,"24,9V,22",njdot_prequalified,utility
"State Line Construction Co., Inc.",234 Pacific Street,Newark,NJ,07114,,danny@statelineco.com,"4,8",njdot_prequalified,gc_excavation
"Stavola Contracting Co., Inc",175 Drift Road,Tinton Falls,NJ,07724,,mniedrich@stavola.com,"25,5,22",njdot_prequalified,paving_asphalt
"Surface Preparation Technologies, Llc",81 Texaco Road,Mechanicsburg,PA,17050,,jmccaster@surfpreptech.com,"25,35",njdot_prequalified,paving_asphalt
"Techna-Pro Electric, Llc","100 Pike Road Building ""B""",Mount Laurel,NJ,08054,,mcerula@techna-pro.com,7,njdot_prequalified,gc_excavation
The Lane Construction Corp.,90 Fieldstone Court,Cheshire,CT,06410,,njprequal@laneconstruct.com,5,njdot_prequalified,gc_excavation
"The Shauger Group, Inc.",429 Dodd Street,East Orange,NJ,07017,,aramos@shauger.com,"6,8C,1,8D,14,9V",njdot_prequalified,utility
The Truesdell Corporation Tempe AZ 85282-1837,1310 West 23Rd Street,,,,,nmackowiak@truesdellcorp.com,"8D,8B",njdot_prequalified,paving_asphalt
"Think Pavers Hardscaping, Llc",125 Kings Highway,Mount Royal,NJ,08061,,nfurfari@thinkpavers.com,"8C,8B,3",njdot_prequalified,paving_asphalt
